i,direct-total,loop-total,direct-scaled,loop-scaled
0,2562723.0,19241000.0,0.06838935559802695,0.08385911990374484
1,1691821.0,7472419.0,0.0451482848428057,0.03256745911813425
2,1107380.0,2138762.0,0.029551771534474497,0.009321485317996628
3,1352040.0,15785636.0,0.03608081885664442,0.06879941489947877
4,565526.0,31480014.0,0.015091743709300533,0.13720109498454167
5,1626598.0,24715459.0,0.04340773038562476,0.10771875888764043
6,2573950.0,3486604.0,0.06868896164023247,0.015195860032892073
7,7242190.0,5597560.0,0.19326657903272215,0.024396156915358142
8,8660449.0,24387150.0,0.23111453180838384,0.10628787152230192
9,4186304.0,51902282.0,0.11171657369814944,0.22620860087916314
10,1362786.0,29123861.0,0.036367588833445035,0.1269321423865183
11,2705198.0,1135401.0,0.07219147289233807,0.0049484812950382935
12,358197.0,608475.0,0.009558919168067115,0.0026519504175163008
13,798076.0,984589.0,0.02129762106878151,0.004291188971826216
14,103424.0,222184.0,0.0027599942379142573,0.0009683568783687773
15,62141.0,113646.0,0.0016583075682455703,0.0004953096793607913
16,186086.0,195524.0,0.00496592945309128,0.0008521631183441509
17,119327.0,169277.0,0.003184384982475969,0.0007377693591781205
18,131246.0,144692.0,0.0035024578796922826,0.0006306191870023725
19,6911.0,9487.0,0.00018442837424800272,4.1347719480631325e-05
20,2048.0,3066.0,5.465335124582688e-05,1.3362718238391024e-05
21,1818.0,4654.0,4.851552371333655e-05,2.028378691502669e-05
22,322.0,703.0,8.592958545486452e-06,3.063923979644126e-06
23,648.0,1532.0,1.729266191762491e-05,6.677000763605691e-06
24,42.0,64.0,1.120820679846059e-06,2.789347577485406e-07
25,266.0,2768439.0,7.098530972358374e-06,0.012065841590728313
26,0.0,1541068.0,0.0,0.006716522332094187
27,0.0,1233423.0,0.0,0.0053756960266637226
28,0.0,1356185.0,0.0,0.0059107364755813215
29,0.0,1441639.0,0.0,0.006283175394153881
30,65025.0,1337250.0,0.0017352705882616663,0.005828211012488062
31,0.0,842290.0,0.0,0.0036709993297502855
